[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_358","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_359","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_360","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_361","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_362","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_363","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_364","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_365","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_366","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_367","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_368","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_369","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_370","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_371","FPC"],"mode":"matchingTag"},"is_exception":false} []
